Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Mel Almada,24,100,99,97,,306,281,13,12,3,.961,2.94,,,,,,,,CF-RF,almadme01
Red Anderson,25,2,1,0,11.0,4,0,3,1,0,.750,1.50,,0,0,0,,,0,P,anderre01
Pete Appleton,33,35,18,7,168.0,52,8,43,1,4,.981,1.46,,4,11,4,27%,40%,0,P,applepe01
Jimmy Bloodworth,19,14,14,14,118.0,74,28,42,4,9,.946,5.00,,,,,,,,2B,bloodji01
Ossie Bluege,36,32,30,30,284.0,181,78,95,8,19,.956,5.41,,,,,,,,SS-3B-1B,bluegos01
Joe Cascarella,30,10,4,1,32.0,9,2,7,0,2,1.000,0.90,,1,1,3,75%,40%,1,P,cascajo01
George Case,21,22,22,20,,56,51,2,3,0,.946,2.30,,,,,,,,RF-LF-CF,casege01
Ben Chapman,28,32,32,31,,75,70,1,4,0,.947,2.22,,,,,,,,CF,chapmbe01
Ken Chase,23,14,9,4,76.0,16,1,13,2,1,.875,1.00,,1,11,5,31%,40%,1,P,chaseke01
Syd Cohen,31,33,0,0,55.0,21,3,17,1,2,.952,0.61,,1,5,2,29%,40%,2,P,cohensy01
Herb Crompton,25,2,1,0,5.0,4,3,1,0,0,1.000,2.00,0,0,0,1,100%,37%,0,C,cromphe01
Jimmie DeShong,27,37,34,20,264.0,69,15,52,2,2,.971,1.81,,3,8,9,53%,40%,0,P,deshoji01
Rick Ferrell,31,84,83,77,726.0,388,341,42,5,5,.987,4.56,6,9,42,21,33%,37%,0,C,ferreri01
Wes Ferrell,29,25,24,21,208.0,40,5,34,1,0,.975,1.56,,1,12,6,33%,40%,0,P,ferrewe01
Carl Fischer,31,17,11,2,72.0,7,1,5,1,0,.857,0.35,,1,2,1,33%,40%,0,P,fischca01
Milt Gray,23,2,2,2,17.0,10,10,0,0,0,1.000,5.00,0,0,1,0,0%,37%,0,C,graymi01
Mike Guerra,24,1,1,1,8.0,4,3,0,1,0,.750,3.00,0,2,0,0,,,0,C,guerrmi01
Jesse Hill,30,22,21,21,,58,57,0,1,0,.983,2.59,,,,,,,,CF-LF,hillje01
Shanty Hogan,31,21,20,15,163.0,95,76,17,2,2,.979,4.43,1,4,8,11,58%,37%,0,C,hogansh01
Bucky Jacobs,24,11,1,0,22.0,6,1,5,0,0,1.000,0.55,,2,0,1,100%,40%,0,P,jacobbu01
Joe Kohlman,24,2,2,1,13.0,1,0,1,0,0,1.000,0.50,,0,2,0,0%,40%,0,P,kohlmjo01
Joe Krakauskas,22,5,4,3,40.0,8,1,4,3,0,.625,1.00,,0,1,2,67%,40%,1,P,krakajo01
Joe Kuhel,31,136,136,135,1206.0,1336,1242,85,9,141,.993,9.76,,,,,,,,1B,kuheljo01
Dick Lanahan,25,6,2,0,11.0,5,1,4,0,0,1.000,0.83,,2,1,0,0%,40%,0,P,lanahdi01
Buddy Lewis,20,156,156,156,1382.0,468,146,293,29,32,.938,2.81,,,,,,,,3B,lewisbu01
Ed Linke,25,36,7,0,129.0,25,1,23,1,1,.960,0.67,,2,2,3,60%,40%,1,P,linkeed01
Jerry Lynn,21,1,1,1,8.0,7,4,3,0,2,1.000,7.00,,,,,,,,2B,lynnje01
John Mihalic,25,31,26,25,244.0,168,75,90,3,25,.982,5.32,,,,,,,,2B-SS,mihaljo01
Wally Millies,30,56,43,41,412.0,239,199,33,7,7,.971,4.14,5,9,20,14,41%,37%,1,C,milliwa01
Buddy Myer,33,119,118,115,1044.0,669,308,338,23,90,.966,5.38,,,,,,,,2B-LF,myerbu01
Bobo Newsom,29,11,10,3,68.0,15,3,12,0,1,1.000,1.36,,2,4,2,33%,40%,0,P,newsobo01
Bill Phebus,27,6,5,4,41.0,6,1,4,1,0,.833,0.83,,2,1,0,0%,40%,1,P,phebubi01
Johnny Riddle,31,8,8,5,63.0,35,28,6,1,1,.971,4.25,1,0,4,4,50%,38%,0,C,riddljo02
Alex Sabo,27,1,0,0,2.0,1,1,0,0,0,1.000,1.00,0,0,0,0,,,0,C,saboal01
Al Simmons,35,102,102,99,,210,199,7,4,5,.981,2.02,,,,,,,,LF-CF,simmoal01
Fred Sington,27,64,56,54,,117,109,3,5,0,.957,1.75,,,,,,,,RF-LF,singtfr01
John Stone,31,137,136,130,,268,251,12,5,3,.981,1.89,,,,,,,,RF-LF-CF,stonejo01
Cecil Travis,23,129,129,126,1119.0,648,229,396,23,99,.965,4.84,,,,,,,,SS,travice01
Frank Trechock,21,1,1,1,9.0,8,2,4,2,2,.750,6.00,,,,,,,,SS,trechfr01
Jimmy Wasdell,23,28,27,27,178.0,206,194,11,1,19,.995,7.32,,,,,,,,1B-RF-LF,wasdeji01
Monte Weaver,31,30,26,9,189.0,52,3,45,4,3,.923,1.60,,1,1,13,93%,40%,4,P,weavemo01
Team Totals,28.1,158,1422,1298,12577.0,6136,4194,1772,170,181,.972,3.77,13,47,75,51,43%,38%,12,,-9999
Rank in 8 AL teams,,,,,,,,,3,,3,,,,,,,,,,-9999
