Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Charlie Gehringer*,26,DET,155,717,634,131,215,45,19,13,106,27,10,64,19,.339,.405,.532,.936,139,337,,6,11,,3,*4/H,gehrich01
2,Bill Cissell,25,CHW,152,666,618,83,173,27,12,5,62,25,17,28,53,.280,.312,.387,.699,80,239,,1,19,,0,*6,cissebi01
3,Bing Miller,34,PHA,147,613,556,84,184,32,16,8,93,24,10,40,25,.331,.380,.489,.869,119,272,,4,13,,1,*9/78H,millebi02
4,Jack Rothrock#,24,BOS,143,531,473,70,142,19,7,6,59,24,13,43,47,.300,.361,.408,.769,100,193,,2,13,,1,*8H/9,rothrja01
5,Roy Johnson*,26,DET,148,715,640,128,201,45,14,10,69,20,16,67,60,.314,.379,.475,.854,118,304,,0,6,,1,*789/H,johnsro02
6,Lew Fonseca,30,CLE,148,645,566,97,209,44,15,6,103,19,11,50,23,.369,.427,.532,.959,142,301,,7,20,,3,*3/H,fonsele01
7,Buddy Myer*,25,WSH,141,639,563,80,169,29,10,3,82,19,7,63,33,.300,.373,.403,.776,99,227,,2,11,,1,45/H,myerbu01
8,Carl Reynolds,26,CHW,131,559,517,81,164,24,12,11,67,19,9,20,37,.317,.348,.474,.821,111,245,,4,18,,3,*987/H,reynoca01
9,Marty McManus,29,DET,154,672,599,99,168,32,8,18,90,16,11,60,52,.280,.347,.451,.798,104,270,,1,12,,2,*5/6,mcmanma01
10,Sam Rice*,39,WSH,150,694,616,119,199,39,10,1,62,16,8,55,9,.323,.382,.424,.806,106,261,,4,19,,0,*9/H,ricesa01
11,Frank O'Rourke,37,SLB,154,659,585,81,147,23,9,2,62,14,7,41,28,.251,.306,.332,.637,62,194,,5,28,,0,*5/46,o'roufr01
12,Earl Averill*,27,CLE,152,680,597,110,198,43,13,18,96,13,14,63,53,.332,.398,.538,.936,136,321,,3,17,,2,*8,averiea01
13,Russ Scarritt*,26,BOS,151,593,540,69,159,26,17,1,71,13,11,34,38,.294,.337,.411,.749,94,222,,1,18,,2,*7H9/8,scarrru01
14,Lu Blue#,32,SLB,151,714,573,111,168,40,10,6,61,12,6,126,32,.293,.422,.429,.852,117,246,,2,11,,2,*3,bluelu01
15,Earle Combs*,30,NYY,142,666,586,119,202,33,15,3,65,12,7,69,32,.345,.414,.468,.881,132,274,,0,11,,1,*8/H,combsea01
16,Joe Judge*,35,WSH,143,638,543,83,171,35,8,6,71,12,5,73,33,.315,.397,.442,.839,115,240,,1,21,,1,*3/H,judgejo01
17,Willie Kamm,29,CHW,147,619,523,72,140,33,6,3,63,12,5,75,23,.268,.363,.371,.734,91,194,,3,18,,1,*5/H,kammwi01
18,Bill Barrett,29,TOT,114,439,371,57,100,23,4,3,35,11,8,53,38,.270,.365,.377,.743,94,140,,3,12,,1,*98/H57,barrebi02
19,Goose Goslin*,28,WSH,145,643,553,82,159,28,7,18,91,11,3,66,33,.288,.366,.461,.827,111,255,,2,18,,2,*7/H,gosligo01
20,Oscar Melillo,29,SLB,141,546,494,57,146,17,10,5,67,11,6,29,30,.296,.337,.401,.738,87,198,,2,19,,2,*4,melilsk01
21,Ray Gardner,27,CLE,82,296,256,28,67,3,2,1,24,10,13,29,16,.262,.337,.301,.638,63,77,,0,11,,0,6/H,gardnra01
22,Sam West*,24,WSH,142,578,510,60,136,16,8,3,75,10,8,45,41,.267,.326,.347,.673,73,177,,0,22,,1,*8/7H,westsa01
23,Jimmie Foxx,21,PHA,149,638,517,123,183,23,9,33,118,9,7,103,70,.354,.463,.625,1.088,173,323,,2,16,,5,*3/5,foxxji01
24,John Kerr,30,CHW,127,477,419,50,108,20,4,1,39,9,8,31,24,.258,.310,.332,.642,67,139,,1,26,,0,*4/H6,kerrjo01
25,Tony Lazzeri,25,NYY,147,639,545,101,193,37,11,18,106,9,10,68,45,.354,.429,.561,.991,160,306,,4,18,,1,*4,lazzeto01
26,Heinie Manush*,27,SLB,142,638,574,85,204,45,10,6,81,9,9,43,24,.355,.401,.500,.901,128,287,,1,17,,5,*7/H,manushe01
27,Alex Metzler*,26,CHW,146,658,568,80,156,23,13,2,49,9,5,80,45,.275,.367,.371,.739,92,211,,3,7,,4,*78/H,metzlal01
28,Jimmy Dykes,32,PHA,119,476,401,76,131,34,6,13,79,8,3,51,25,.327,.412,.539,.950,139,216,,7,17,,2,654/H,dykesji01
29,Fred Schulte,28,SLB,121,520,446,63,137,24,5,3,71,8,3,59,44,.307,.389,.404,.793,102,180,,1,14,,2,*8/H,schulfr02
31,Mickey Cochrane*,26,PHA,135,606,514,113,170,37,8,7,95,7,7,69,8,.331,.412,.475,.887,124,244,,2,21,,0,*2/H,cochrmi01
32,Bobby Reeves,25,BOS,140,536,460,66,114,19,2,2,28,7,8,60,57,.248,.343,.311,.654,72,143,,7,8,,0,*5/H463,reevebo01
33,Bill Regan,30,BOS,104,406,371,38,107,27,7,1,54,7,5,22,38,.288,.328,.407,.735,91,151,,0,13,,1,45/H3,reganbi01
34,Ossie Bluege,28,WSH,64,246,220,35,65,6,0,5,31,6,4,19,15,.295,.354,.391,.745,91,86,,1,6,,1,546/H,bluegos01
35,Sammy Hale,32,PHA,101,416,379,51,105,14,3,1,40,6,2,12,18,.277,.303,.338,.641,62,128,,2,23,,1,5/H4,halesa01
36,Clarence Hoffman,25,CHW,107,369,337,27,87,16,5,3,37,6,3,24,28,.258,.307,.362,.669,73,122,,0,7,,0,8H79,hoffmdu01
37,Harry Rice*,27,DET,130,613,536,97,163,33,7,6,69,6,11,61,23,.304,.379,.425,.805,107,228,,4,12,,2,*8/59H,riceha01
38,Joe Sewell*,30,CLE,152,672,578,90,182,38,3,7,73,6,6,48,4,.315,.372,.427,.800,103,247,,5,41,,2,*5,seweljo01
39,Luke Sewell,28,CLE,124,457,406,41,96,16,3,1,39,6,6,29,26,.236,.287,.298,.585,49,121,,0,22,,1,*2,sewellu01
40,Phil Todt*,27,BOS,153,592,534,49,140,38,10,4,64,6,7,31,28,.262,.305,.393,.698,81,210,,2,25,,3,*3,todtph01
41,Johnny Watwood*,23,CHW,85,308,278,33,84,12,6,2,28,6,3,22,21,.302,.355,.410,.766,98,114,,1,7,,0,89/H7,watwojo01
42,Dale Alexander,26,DET,155,701,626,110,215,43,15,25,137,5,9,56,63,.343,.397,.580,.977,148,363,,0,18,,2,*3,alexada01
43,Moe Berg,27,CHW,107,384,352,32,101,7,0,0,47,5,1,17,16,.287,.323,.307,.630,64,108,,2,12,,3,*2/H,bergmo01
44,Joe Cronin,22,WSH,145,601,494,72,139,29,8,8,61,5,9,85,37,.281,.388,.421,.809,107,208,,1,21,,2,*6/H4,cronijo01
45,Harry Heilmann,34,DET,125,519,453,86,156,41,7,15,120,5,6,50,39,.344,.412,.565,.977,149,256,,2,14,,2,*9H/3,heilmha01
46,Bill Hunnefield#,30,CHW,47,135,127,13,23,5,0,0,9,5,2,7,3,.181,.224,.220,.444,16,28,,0,1,,0,4H/56,hunnebi01
47,Red Kress,24,SLB,147,628,557,82,170,38,4,9,107,5,8,52,54,.305,.366,.436,.802,103,243,,1,17,,0,*6/H,kressre01
48,Frank McGowan*,27,SLB,125,525,441,62,112,26,6,2,51,5,2,61,34,.254,.346,.354,.700,78,156,,1,21,,1,*98/H,mcgowbe01
49,Babe Ruth*,34,NYY,135,587,499,121,172,26,6,46,154,5,3,72,60,.345,.430,.697,1.128,193,348,,3,13,,5,*97/H,ruthba01
50,Bill Dickey*,22,NYY,130,474,447,60,145,30,6,10,65,4,6,14,16,.324,.346,.485,.832,117,217,,1,11,,4,*2H,dickebi01
51,Bibb Falk*,30,CLE,125,489,426,65,133,30,7,13,93,4,4,42,14,.312,.374,.507,.881,122,216,,0,20,,1,*97H,falkbi01
52,Lou Gehrig*,26,NYY,154,694,553,127,166,32,10,35,125,4,3,122,68,.300,.431,.584,1.015,166,323,,5,12,,9,*3,gehrilo01
53,Jackie Hayes,22,WSH,123,468,424,52,117,20,3,2,57,4,5,24,29,.276,.316,.351,.668,71,149,,1,19,,2,54/H6,hayesja02
54,Lyn Lary,23,NYY,80,269,236,48,73,9,2,5,26,4,1,24,15,.309,.380,.428,.808,113,101,,3,5,,0,56H/4,laryly01
55,Ed Morgan,25,CLE,93,360,318,60,101,19,10,3,37,4,3,37,24,.318,.392,.469,.861,118,149,,2,3,,0,9H/7,morgaed01
56,Bill Narleski,29,BOS,96,292,260,30,72,16,1,0,25,4,4,21,22,.277,.333,.346,.679,77,90,,1,9,,1,64H/5,narlebi01
57,Hal Rhyne,30,BOS,120,388,346,41,87,24,5,0,38,4,1,25,14,.251,.309,.350,.659,71,121,,4,12,,1,*6/H59,rhyneha01
58,Art Shires*,22,CHW,100,393,353,41,110,20,7,3,41,4,5,32,20,.312,.370,.433,.804,108,153,,1,6,,2,3H/4,shirear01
59,Al Simmons,27,PHA,143,629,581,114,212,41,9,34,157,4,3,31,38,.365,.398,.642,1.040,159,373,,1,16,,8,*7/H,simmoal01
60,Bob Barrett,30,BOS,68,140,126,15,34,10,0,0,19,3,1,10,6,.270,.324,.349,.673,75,44,,0,4,,1,H5/347,barrebo01
61,Bud Clancy*,28,CHW,92,319,290,36,82,14,6,3,45,3,1,16,19,.283,.320,.403,.724,87,117,,0,12,,2,3H,clancbu01
62,Leo Durocher,23,NYY,106,385,341,53,84,4,5,0,32,3,1,34,33,.246,.320,.287,.607,62,98,,3,7,,0,64/H,durocle01
63,Cedric Durst*,32,NYY,92,223,202,32,52,3,3,4,31,3,2,15,25,.257,.309,.361,.670,76,73,,0,5,,0,7H9/83,durstce01
64,Bob Fothergill,31,DET,115,293,277,41,98,24,9,6,62,3,1,11,11,.354,.378,.570,.949,141,158,,0,5,,0,H79,fothebo01
