Rk,Player,SB,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team,Player-additional
1,Frankie Frisch,404,1920,1937,22-39,2257,9904,8922,1511,2837,2135,463,136,103,1220,404,145,724,258,.318,.371,.435,.806,111,3881,55,31,226,,19,456H,NYGSTL,friscfr01
2,Max Carey,346,1920,1929,30-39,1244,5413,4667,818,1381,1025,239,77,40,432,346,59,558,214,.296,.375,.406,.781,106,1894,,33,154,,1,*89H/7,BROPIT,careyma01
3,Kiki Cuyler,328,1921,1938,22-39,1879,8100,7161,1305,2299,1620,394,157,128,1065,328,127,676,752,.321,.386,.474,.860,125,3391,53,85,176,,17,987H,BROCHCCINPIT,cuyleki01
4,Ben Chapman,286,1930,1941,21-32,1659,7305,6366,1126,1925,1327,401,107,90,959,286,135,815,550,.302,.384,.441,.825,114,2810,47,26,91,,19,*89754H/6,BOSCHWCLENYYWSH,chapmbe01
5,Sam Rice,285,1920,1934,30-44,2039,8741,7898,1328,2561,1925,441,165,30,917,285,143,599,194,.324,.375,.433,.808,111,3422,,45,191,,6,*98H7,CLEWSH,ricesa01
6,Cool Papa Bell,253,1922,1937,19-34,974,4409,3902,972,1263,922,227,59,55,496,253,,403,,.324,.389,.454,.843,125,1773,,13,91,,,*813/9745,CAGDWHGPCSLS,bellco99
7,George Sisler,221,1920,1930,27-37,1442,6425,5911,948,2033,1522,312,118,81,897,221,113,328,207,.344,.381,.478,.859,118,2824,,28,153,,0,*3H/71,BSNSLBWSH,sislege01
8,Oscar Charleston,209,1920,1941,23-44,929,3962,3350,862,1218,750,242,80,146,861,209,,484,,.364,.448,.614,1.062,184,2058,,28,100,,,8319/75,ABCHBGHGHILPCPSSLGTCTC2,charlos99
9,Billy Werber,206,1930,1941,22-33,1197,5416,4654,824,1287,900,262,48,77,526,206,89,650,341,.277,.369,.403,.772,100,1876,28,28,84,,20,*567H/948,BOSCINNYYPHA,werbebi01
10,Gee Walker,191,1931,1941,23-33,1324,5462,5126,783,1576,1076,324,67,109,811,191,70,248,432,.307,.343,.461,.804,105,2361,43,31,56,,20,*798H,CHWCLEDETWSH,walkege02
