,,Negro League Stats,,,,,,,,,,,,,Updated Career Totals,,,,,,,,,,,,,-additional
Name,Span,WAR,PA,HR,BA,OBP,SLG,OPS+,IP,W,L,SO,ERA,ERA+,WAR,PA,HR,BA,OBP,SLG,OPS+,IP,W,L,SO,ERA,ERA+,-9999
Willie Mays,1948,0.0,48,0,.233,.313,.326,71,,,,,,,156.1,12545,660,.301,.384,.557,155,,,,,,,mayswi01
Jackie Robinson,1945,2.1,137,4,.375,.449,.600,208,,,,,,,63.8,5941,141,.313,.410,.477,133,,,,,,,robinja02
Bullet Rogan,1920-1938,61.5,2376,50,.338,.413,.521,152,1500.0,120,52,918,2.65,161,61.5,2376,50,.338,.413,.521,152,1500.0,120,52,918,2.65,161,roganbu99
Larry Doby,1942-1947,7.2,618,20,.340,.422,.589,179,,,,,,,56.5,6920,273,.288,.389,.499,140,,,,,,,dobyla01
Minnie Minoso,1946-1948,3.5,520,9,.313,.364,.479,135,,,,,,,53.8,8233,195,.299,.387,.461,130,,,,,,,minosmi01
Willie Wells,1924-1948,51.1,4538,140,.330,.407,.535,152,0.2,0,0,0,0.00,,51.1,4538,140,.330,.407,.535,152,0.2,0,0,0,0.00,,wellswi99
Turkey Stearnes,1923-1940,49.8,4291,186,.349,.417,.616,177,7.0,0,1,2,15.43,30,49.8,4291,186,.349,.417,.616,177,7.0,0,1,2,15.43,30,steartu99
Oscar Charleston,1920-1941,48.3,3920,143,.364,.449,.615,184,80.2,1,4,28,4.91,86,48.3,3920,143,.364,.449,.615,184,80.2,1,4,28,4.91,86,charlos99
Satchel Paige,1927-1947,38.5,568,1,.222,.238,.267,41,1253.2,93,50,1192,2.47,166,47.5,703,1,.198,.215,.235,25,1729.2,121,81,1480,2.70,152,paigesa01
Bill Foster,1923-1937,47.1,644,4,.218,.263,.279,47,1499.2,110,56,922,2.63,164,47.1,644,4,.218,.263,.279,47,1499.2,110,56,922,2.63,164,fostebi99
