Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Rap Dixon,26,BBS,76,320,277,77,115,23,7,16,92,22,,33,,.415,.482,.722,1.204,190,200,,3,7,,,789/36,dixonra01
2,Jud Wilson*,33,BBS,76,336,280,77,113,23,4,10,75,21,,44,,.404,.492,.621,1.114,170,174,,5,7,,,*3/5967,wilsoju99
3,Charlie Smith*,27,NLG,66,304,246,86,111,29,4,22,81,16,,48,,.451,.551,.870,1.421,242,214,,7,3,,,*9/47,smithch11
4,Judy Johnson,29,TOT,82,368,335,79,123,21,5,6,69,14,,21,,.367,.406,.513,.920,123,172,,1,11,,,*56,johnsju99
5,Namon Washington?,35,NLG,66,310,265,68,77,10,2,2,24,14,,29,,.291,.363,.366,.729,78,97,,1,15,,,*7/49,washina01
6,Bill Riggins#,29,NLG,66,301,244,60,84,15,2,5,60,12,,40,,.344,.444,.484,.928,126,118,,4,13,,,*5/4,riggibi01
7,Clint Thomas,32,TOT,59,256,223,48,66,10,2,6,43,12,,27,,.296,.375,.439,.814,98,98,,1,5,,,978/2,thomacl03
9,Willie Gray*,--,NLG,40,185,153,35,44,9,4,2,17,11,,25,,.288,.394,.438,.832,103,67,,2,5,,,8,graywi01
10,Julio Rojo#,35,NLG,43,159,135,24,40,8,2,1,25,11,,14,,.296,.362,.407,.770,87,55,,0,10,,,2/31,rojoju01
11,Crush Holloway#,32,HIL,81,379,333,63,88,16,5,3,21,10,,32,,.264,.334,.369,.704,71,123,,3,11,,,*97/8,hollocr01
12,Frank Warfield,30,BBS,79,364,308,76,81,8,3,1,30,10,,45,,.263,.362,.318,.681,67,98,,3,8,,,*4/6,warfifr01
13,Dick Lundy#,30,BBS,70,294,261,53,92,16,6,4,59,9,,21,,.352,.403,.506,.909,120,132,,1,11,,,*6,lundydi01
14,Walter Cannady,27,HG,49,202,186,47,66,18,4,1,30,8,,10,,.355,.388,.511,.899,117,95,,0,6,,,63/415,cannawa01
15,Oscar Charleston*,32,TOT,82,360,291,71,106,25,7,7,64,8,,56,,.364,.471,.570,1.042,153,166,,3,10,,,*83/97,charlos99
16,Eggie Dallard*,30,HIL,68,282,232,50,57,9,4,2,23,8,,40,,.246,.364,.345,.708,73,80,,3,7,,,73/984,dallaeg01
17,Martín Dihigo,24,HIL,78,336,271,68,90,14,4,18,79,8,,56,,.332,.448,.613,1.061,156,166,,1,8,,,634/15872,dihigma99
18,Vic Harris*,24,HG,66,295,267,50,79,12,6,3,40,8,,24,,.296,.354,.419,.773,88,112,,0,4,,,78,harrivi02
19,George Scales,28,TOT,66,289,237,59,90,25,3,8,73,8,,41,,.380,.484,.612,1.096,165,145,,7,4,,,*4,scalege01
20,Fats Jenkins*,31,AC,56,254,223,57,84,11,4,1,28,7,,28,,.377,.446,.475,.922,125,106,,0,3,,,*7/98,jenkifa01
21,Babe Melton,--,TOT,37,165,142,38,48,11,4,6,23,7,,17,,.338,.416,.599,1.015,145,85,,2,4,,,8/3749,meltoba01
22,Biz Mackey#,31,HIL,52,220,186,35,67,12,3,2,38,6,,30,,.360,.449,.489,.938,128,91,,0,4,,,*2/564,mackebi99
23,Chaney White,35,TOT,70,309,278,50,98,16,10,4,57,5,,17,,.353,.406,.525,.931,125,146,,8,6,,,*8/9,whitech03
24,Bill Yancey,27,NLG,66,276,240,34,60,12,2,1,29,5,,27,,.250,.326,.329,.655,60,79,,0,9,,,*6,yancebi01
25,Francisco Correa,24,CSE,53,230,211,30,61,15,3,2,42,4,,14,,.289,.336,.417,.753,83,88,,1,4,,,6/7594,correfr01
26,Mack Eggleston#,32,AC,60,225,187,21,45,4,1,4,23,4,,29,,.241,.346,.337,.683,67,63,,1,8,,,25/9437,egglema01
27,Joe Lewis,34,HIL,36,138,123,17,31,7,1,0,30,4,,10,,.252,.308,.325,.633,54,40,,0,5,,,2,lewisjo02
28,Oliver Marcell,34,BBS,74,298,266,37,79,11,3,0,39,4,,25,,.297,.362,.361,.723,77,96,,2,5,,,*5,marceol01
29,Pete Washington,26,BBS,77,320,273,48,86,9,4,10,55,4,,29,,.315,.389,.487,.876,112,133,,4,14,,,*87/9,washipe01
30,Agustín Bejerano*,20,CSE,29,129,121,21,41,5,1,1,20,3,,6,,.339,.375,.421,.796,94,51,,1,1,,,8/7,bejerag01
31,Buddy Burbage*,22,BBS,34,156,134,29,39,7,2,0,15,3,,15,,.291,.367,.373,.740,81,50,,1,6,,,79,burbabu01
32,George Carr#,34,TOT,23,97,84,18,30,4,0,0,12,3,,12,,.357,.443,.405,.848,108,34,,1,0,,,3/5,carrge01
33,Buck Ewing*,26,HG,63,243,216,38,66,12,5,2,34,3,,21,,.306,.367,.435,.802,95,94,,0,6,,,*2/39,ewingbu02
34,Dennis Graham*,33,HG,49,207,191,32,61,5,1,1,24,3,,13,,.319,.363,.372,.734,79,71,,0,3,,,*9,grahade01
35,Mo Harris?,31,HG,45,162,147,17,32,8,1,1,19,3,,10,,.218,.268,.306,.574,39,45,,0,5,,,4/89,harrimo02
