Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Cool Papa Bell#,26,TOT,NNL,97,447,391,98,125,26,5,3,40,49,,49,,.320,.397,.435,.832,117,170,,1,6,,,*8/31,bellco99
2,Kiki Cuyler,30,CHC,NL,139,596,509,111,183,29,7,15,102,43,11,66,56,.360,.438,.532,.970,139,271,,5,16,,0,*97H,cuyleki01
3,LeRoy Taylor*,26,KCM,NNL,73,305,274,60,98,8,10,1,51,34,,18,,.358,.399,.471,.870,126,129,,1,12,,,*9/7,taylole02
4,Evar Swanson,26,CIN,NL,148,636,574,100,172,35,12,4,43,33,20,41,47,.300,.353,.423,.776,95,243,,6,15,,1,*78/H,swansev01
5,Willie Wells,24,TOT,NNL,99,444,377,109,137,24,6,26,128,31,,53,,.363,.444,.666,1.110,185,251,,2,12,,,*6,wellswi99
6,Charlie Gehringer*,26,DET,AL,155,717,634,131,215,45,19,13,106,27,10,64,19,.339,.405,.532,.936,139,337,,6,11,,3,*4/H,gehrich01
7,Bullet Rogan,35,KCM,NNL,72,308,259,65,93,16,9,7,69,26,,41,,.359,.449,.571,1.020,164,148,,1,7,,,*8/5319,roganbu99
8,Bill Cissell,25,CHW,AL,152,666,618,83,173,27,12,5,62,25,17,28,53,.280,.312,.387,.699,80,239,,1,19,,0,*6,cissebi01
9,Frankie Frisch#,31,STL,NL,138,599,527,93,176,40,12,5,74,24,12,53,12,.334,.397,.484,.881,115,255,,2,17,,0,*45/H6,friscfr01
10,Bing Miller,34,PHA,AL,147,613,556,84,184,32,16,8,93,24,10,40,25,.331,.380,.489,.869,119,272,,4,13,,1,*9/78H,millebi02
11,Jack Rothrock#,24,BOS,AL,143,531,473,70,142,19,7,6,59,24,13,43,47,.300,.361,.408,.769,100,193,,2,13,,1,*8H/9,rothrja01
12,Newt Allen,28,KCM,NNL,74,327,295,65,98,27,6,3,54,23,,24,,.332,.382,.495,.877,127,146,,0,8,,,*4,allenne02
13,Rap Dixon,26,BBS,ANL,76,320,277,77,115,23,7,16,92,22,,33,,.415,.482,.722,1.204,190,200,,3,7,,,789/36,dixonra01
14,Ethan Allen,25,CIN,NL,143,568,538,69,157,27,11,6,64,21,9,20,21,.292,.317,.416,.734,84,224,,0,10,,1,*879/H,allenet01
15,Babe Herman*,26,BRO,NL,146,637,569,105,217,42,13,21,113,21,15,55,45,.381,.436,.612,1.047,159,348,,0,13,,5,*9/H3,hermaba01
16,Jud Wilson*,33,BBS,ANL,76,336,280,77,113,23,4,10,75,21,,44,,.404,.492,.621,1.114,170,174,,5,7,,,*3/5967,wilsoju99
17,Roy Johnson*,26,DET,AL,148,715,640,128,201,45,14,10,69,20,16,67,60,.314,.379,.475,.854,118,304,,0,6,,1,*789/H,johnsro02
18,Adam Comorosky,24,PIT,NL,127,533,473,86,152,26,11,6,97,19,4,40,22,.321,.377,.461,.838,104,218,,2,18,,5,*7/H8,comorad01
19,Lew Fonseca,30,CLE,AL,148,645,566,97,209,44,15,6,103,19,11,50,23,.369,.427,.532,.959,142,301,,7,20,,3,*3/H,fonsele01
20,Buddy Myer*,25,WSH,AL,141,639,563,80,169,29,10,3,82,19,7,63,33,.300,.373,.403,.776,99,227,,2,11,,1,45/H,myerbu01
21,Carl Reynolds,26,CHW,AL,131,559,517,81,164,24,12,11,67,19,9,20,37,.317,.348,.474,.821,111,245,,4,18,,3,*987/H,reynoca01
22,Curt Walker*,32,CIN,NL,141,601,492,76,154,28,15,7,83,17,17,85,17,.313,.416,.474,.890,125,233,,2,22,,7,*9/H,walkecu01
23,Marty McManus,29,DET,AL,154,672,599,99,168,32,8,18,90,16,11,60,52,.280,.347,.451,.798,104,270,,1,12,,2,*5/6,mcmanma01
24,Dink Mothell#,31,KCM,NNL,70,315,263,53,64,12,2,4,40,16,,32,,.243,.328,.350,.678,77,92,,1,19,,,*3/4,mothedi01
25,Sam Rice*,39,WSH,AL,150,694,616,119,199,39,10,1,62,16,8,55,9,.323,.382,.424,.806,106,261,,4,19,,0,*9/H,ricesa01
26,Charlie Smith*,27,NLG,ANL,66,304,246,86,111,29,4,22,81,16,,48,,.451,.551,.870,1.421,242,214,,7,3,,,*9/47,smithch11
27,Clarence Smith,--,BBB,NNL,68,284,264,39,96,10,7,6,54,16,,9,,.364,.385,.523,.907,134,138,,0,11,,,978/42,smithcl02
28,Fresco Thompson,27,PHI,NL,148,717,623,115,202,41,3,4,53,16,9,75,34,.324,.398,.419,.817,98,261,,1,16,,0,*4,thompfr03
29,Pythias Russ,25,CAG,NNL,64,257,233,53,86,10,11,3,51,15,,18,,.369,.414,.545,.959,148,127,,0,6,,,62,russpy01
30,Paul Waner*,26,PIT,NL,151,704,596,131,200,43,15,15,100,15,9,89,24,.336,.424,.534,.958,133,318,,3,15,,3,*9/3H,wanerpa01
31,Harvey Hendrick*,31,BRO,NL,110,424,384,69,136,25,6,14,82,14,12,31,20,.354,.404,.560,.964,138,215,,1,8,,1,37H9/568,hendrha01
32,Judy Johnson,29,TOT,ANL,82,368,335,79,123,21,5,6,69,14,,21,,.367,.406,.513,.920,123,172,,1,11,,,*56,johnsju99
33,Frank O'Rourke,37,SLB,AL,154,659,585,81,147,23,9,2,62,14,7,41,28,.251,.306,.332,.637,62,194,,5,28,,0,*5/46,o'roufr01
34,Namon Washington?,35,NLG,ANL,66,310,265,68,77,10,2,2,24,14,,29,,.291,.363,.366,.729,78,97,,1,15,,,*7/49,washina01
35,Earl Averill*,27,CLE,AL,152,680,597,110,198,43,13,18,96,13,14,63,53,.332,.398,.538,.936,136,321,,3,17,,2,*8,averiea01
36,Woody English,23,CHC,NL,144,700,608,131,168,29,3,1,52,13,6,68,50,.276,.352,.339,.691,72,206,,3,21,,1,*6,engliwo01
37,Halley Harding#,24,KCM,NNL,74,348,305,64,96,23,9,0,34,13,,34,,.315,.383,.449,.833,116,137,,0,9,,,*6,hardiha01
38,Rabbit Maranville,37,BSN,NL,146,634,560,87,159,26,10,0,55,13,6,47,33,.284,.344,.366,.710,80,205,,4,23,,1,*6/4,maranra01
39,Norm McMillan,33,CHC,NL,124,541,495,77,134,35,5,5,55,13,8,36,43,.271,.324,.392,.716,77,194,,3,7,,0,*5/H,mcmilno01
40,Russ Scarritt*,26,BOS,AL,151,593,540,69,159,26,17,1,71,13,11,34,38,.294,.337,.411,.749,94,222,,1,18,,2,*7H9/8,scarrru01
41,Denny Sothern,25,PHI,NL,76,318,294,52,90,21,3,5,27,13,9,16,24,.306,.346,.449,.795,91,132,,2,6,,1,8/H97,sothede01
42,Pie Traynor,30,PIT,NL,130,597,540,94,192,27,12,4,108,13,3,30,7,.356,.393,.472,.865,111,255,,3,24,,2,*5,traynpi01
43,Lu Blue#,32,SLB,AL,151,714,573,111,168,40,10,6,61,12,6,126,32,.293,.422,.429,.852,117,246,,2,11,,2,*3,bluelu01
44,Earle Combs*,30,NYY,AL,142,666,586,119,202,33,15,3,65,12,7,69,32,.345,.414,.468,.881,132,274,,0,11,,1,*8/H,combsea01
45,Joe Judge*,35,WSH,AL,143,638,543,83,171,35,8,6,71,12,5,73,33,.315,.397,.442,.839,115,240,,1,21,,1,*3/H,judgejo01
46,Willie Kamm,29,CHW,AL,147,619,523,72,140,33,6,3,63,12,5,75,23,.268,.363,.371,.734,91,194,,3,18,,1,*5/H,kammwi01
47,Bill Riggins#,29,NLG,ANL,66,301,244,60,84,15,2,5,60,12,,40,,.344,.444,.484,.928,126,118,,4,13,,,*5/4,riggibi01
48,Turkey Stearnes*,28,DS,NNL,68,304,259,64,101,17,4,16,91,12,,38,,.390,.468,.672,1.140,194,174,,0,7,,,*8,steartu99
49,Clint Thomas,32,TOT,ANL,59,256,223,48,66,10,2,6,43,12,,27,,.296,.375,.439,.814,98,98,,1,5,,,978/2,thomacl03
50,Bill Barrett,29,TOT,AL,114,439,371,57,100,23,4,3,35,11,8,53,38,.270,.365,.377,.743,94,140,,3,12,,1,*98/H57,barrebi02
51,Dick Bartell,21,PIT,NL,143,674,610,101,184,40,13,2,57,11,6,40,29,.302,.347,.420,.766,87,256,,2,22,,0,64/H,bartedi01
52,Goose Goslin*,28,WSH,AL,145,643,553,82,159,28,7,18,91,11,3,66,33,.288,.366,.461,.827,111,255,,2,18,,2,*7/H,gosligo01
53,Willie Gray*,--,NLG,ANL,40,185,153,35,44,9,4,2,17,11,,25,,.288,.394,.438,.832,103,67,,2,5,,,8,graywi01
54,Julius Green?,30,MRS,NNL,72,290,250,35,61,3,0,2,19,11,,33,,.244,.335,.280,.615,62,70,,1,6,,,938/7,greenju02
55,Milt Laurent,27,MRS,NNL,74,285,265,32,61,8,0,2,29,11,,9,,.230,.255,.283,.538,40,75,,0,11,,,456/871,lauremi01
56,Oscar Melillo,29,SLB,AL,141,546,494,57,146,17,10,5,67,11,6,29,30,.296,.337,.401,.738,87,198,,2,19,,2,*4,melilsk01
57,Julio Rojo#,35,NLG,ANL,43,159,135,24,40,8,2,1,25,11,,14,,.296,.362,.407,.770,87,55,,0,10,,,2/31,rojoju01
