Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Kiki Cuyler,30,CHC,139,596,509,111,183,29,7,15,102,43,11,66,56,.360,.438,.532,.970,139,271,,5,16,,0,*97H,cuyleki01
2,Evar Swanson,26,CIN,148,636,574,100,172,35,12,4,43,33,20,41,47,.300,.353,.423,.776,95,243,,6,15,,1,*78/H,swansev01
3,Frankie Frisch#,31,STL,138,599,527,93,176,40,12,5,74,24,12,53,12,.334,.397,.484,.881,115,255,,2,17,,0,*45/H6,friscfr01
4,Ethan Allen,25,CIN,143,568,538,69,157,27,11,6,64,21,9,20,21,.292,.317,.416,.734,84,224,,0,10,,1,*879/H,allenet01
5,Babe Herman*,26,BRO,146,637,569,105,217,42,13,21,113,21,15,55,45,.381,.436,.612,1.047,159,348,,0,13,,5,*9/H3,hermaba01
6,Adam Comorosky,24,PIT,127,533,473,86,152,26,11,6,97,19,4,40,22,.321,.377,.461,.838,104,218,,2,18,,5,*7/H8,comorad01
7,Curt Walker*,32,CIN,141,601,492,76,154,28,15,7,83,17,17,85,17,.313,.416,.474,.890,125,233,,2,22,,7,*9/H,walkecu01
8,Fresco Thompson,27,PHI,148,717,623,115,202,41,3,4,53,16,9,75,34,.324,.398,.419,.817,98,261,,1,16,,0,*4,thompfr03
9,Paul Waner*,26,PIT,151,704,596,131,200,43,15,15,100,15,9,89,24,.336,.424,.534,.958,133,318,,3,15,,3,*9/3H,wanerpa01
10,Harvey Hendrick*,31,BRO,110,424,384,69,136,25,6,14,82,14,12,31,20,.354,.404,.560,.964,138,215,,1,8,,1,37H9/568,hendrha01
11,Woody English,23,CHC,144,700,608,131,168,29,3,1,52,13,6,68,50,.276,.352,.339,.691,72,206,,3,21,,1,*6,engliwo01
12,Rabbit Maranville,37,BSN,146,634,560,87,159,26,10,0,55,13,6,47,33,.284,.344,.366,.710,80,205,,4,23,,1,*6/4,maranra01
13,Norm McMillan,33,CHC,124,541,495,77,134,35,5,5,55,13,8,36,43,.271,.324,.392,.716,77,194,,3,7,,0,*5/H,mcmilno01
14,Denny Sothern,25,PHI,76,318,294,52,90,21,3,5,27,13,9,16,24,.306,.346,.449,.795,91,132,,2,6,,1,8/H97,sothede01
15,Pie Traynor,30,PIT,130,597,540,94,192,27,12,4,108,13,3,30,7,.356,.393,.472,.865,111,255,,3,24,,2,*5,traynpi01
16,Dick Bartell,21,PIT,143,674,610,101,184,40,13,2,57,11,6,40,29,.302,.347,.420,.766,87,256,,2,22,,0,64/H,bartedi01
17,George Grantham*,29,PIT,110,458,349,85,107,23,10,12,90,10,6,93,38,.307,.454,.533,.987,141,186,,1,14,,5,473/H,grantge01
18,Don Hurst*,23,PHI,154,692,589,100,179,29,4,31,125,10,9,80,36,.304,.390,.525,.914,119,309,,3,20,,6,*3,hurstdo01
19,Travis Jackson,25,NYG,149,634,551,92,162,21,12,21,94,10,7,64,56,.294,.367,.490,.857,110,270,,0,19,,2,*6,jackstr01
20,Freddy Leach*,31,NYG,113,442,411,74,119,22,6,8,47,10,6,17,14,.290,.324,.431,.755,85,177,,4,10,,2,7H/89,leachfr01
21,Freddie Lindstrom,23,NYG,130,600,549,99,175,23,6,15,91,10,10,30,28,.319,.354,.464,.819,101,255,,0,21,,3,*5/H,lindsfr01
22,Riggs Stephenson,31,CHC,136,582,495,91,179,36,6,17,110,10,5,67,21,.362,.445,.562,1.006,148,278,,7,13,,10,*7/H,stephri01
23,Bill Terry*,30,NYG,150,673,607,103,226,39,5,14,117,10,13,48,35,.372,.418,.522,.941,132,317,,0,18,,6,*3/7,terrybi01
24,Hughie Critz,28,CIN,107,474,425,55,105,17,9,1,50,9,0,27,21,.247,.292,.336,.629,59,143,,0,22,,1,*4/6,critzhu01
25,Jake Flowers,27,BRO,46,159,130,16,26,6,0,1,16,9,4,22,6,.200,.316,.269,.585,48,35,,0,7,,0,4/H,floweja01
26,Cliff Heathcote*,31,CHC,82,258,224,45,70,17,0,2,31,9,5,25,17,.313,.384,.415,.799,98,93,,1,7,,1,9H/8,heathcl01
27,Taylor Douthit,28,STL,150,709,613,128,206,42,7,9,62,8,6,79,49,.336,.416,.471,.888,117,289,,5,11,,0,*8,douthta01
28,Chuck Dressen,34,CIN,110,458,401,49,98,22,3,1,36,8,11,41,21,.244,.321,.322,.642,63,129,,4,12,,0,5/4H,dressch01
29,Horace Ford,31,CIN,148,590,529,68,146,14,6,3,50,8,9,41,25,.276,.329,.342,.671,70,181,,1,19,,0,*64,fordho01
30,Charlie Gelbert,23,STL,146,578,512,60,134,29,8,3,65,8,12,51,46,.262,.329,.367,.696,70,188,,0,15,,1,*6,gelbech01
31,Freddie Maguire,30,BSN,138,545,496,54,125,26,8,0,41,8,3,19,40,.252,.284,.337,.620,56,167,,3,26,,0,*4/6,maguifr01
32,Clarke Pittenger,30,CIN,77,227,210,31,62,11,0,0,27,8,6,5,4,.295,.318,.348,.666,68,73,,2,10,,0,6H/54,pittipi01
33,Andy Reese,25,NYG,58,230,209,36,55,11,3,0,21,8,2,15,19,.263,.316,.344,.660,64,72,,1,5,,0,4/75H8,reesera01
34,Clyde Sukeforth*,27,CIN,84,262,237,31,84,16,2,1,33,8,4,17,6,.354,.398,.451,.849,114,107,,0,8,,2,2H,sukefcl01
36,Dave Bancroft#,38,BRO,104,403,358,35,99,11,3,1,44,7,1,29,11,.277,.331,.332,.663,66,119,,0,16,,0,6/H,bancrda01
37,Chick Fullis,28,NYG,86,311,274,67,79,11,1,7,29,7,5,30,26,.288,.365,.412,.777,92,113,,3,4,,1,87H/9,fullich01
38,Wally Gilbert,28,BRO,143,641,569,88,173,31,4,3,58,7,11,42,29,.304,.359,.388,.748,87,221,,7,23,,1,*5/H,gilbewa01
39,Chick Hafey,26,STL,134,574,517,101,175,47,9,29,125,7,3,45,42,.338,.394,.632,1.026,147,327,,2,8,,5,*7/H,hafeych01
40,Andy High*,31,STL,146,659,603,95,178,32,4,10,63,7,4,38,18,.295,.340,.411,.751,83,248,,3,15,,1,*54/H,highan01
41,George Kelly,33,CIN,147,632,577,73,169,45,9,5,103,7,5,33,61,.293,.332,.428,.760,91,247,,1,21,,1,*3,kellyge01
42,Ernie Orsatti*,26,STL,113,389,346,64,115,21,7,3,39,7,5,33,43,.332,.394,.460,.853,108,159,,2,8,,3,9H3/78,orsater01
43,Lance Richbourg*,31,BSN,139,617,557,76,170,24,13,3,56,7,11,42,26,.305,.355,.411,.766,93,229,,1,16,,5,*9/H7,richbla01
44,Pinky Whitney,24,PHI,154,697,612,89,200,43,14,8,115,7,8,61,35,.327,.390,.482,.872,110,295,,2,22,,2,*5,whitnpi01
45,Earl Clark,21,BSN,84,303,279,43,88,13,3,1,30,6,2,12,30,.315,.346,.394,.740,87,110,,1,11,,0,8H/79,clarkea01
46,Johnny Frederick*,27,BRO,148,682,628,127,206,52,6,24,75,6,8,39,34,.328,.372,.545,.917,126,342,,5,10,,1,*8/H,fredejo01
47,Mel Ott*,20,NYG,150,675,545,138,179,37,2,42,151,6,13,113,38,.328,.449,.635,1.084,165,346,,6,10,,3,*9/48H,ottme01
48,Edd Roush*,36,NYG,115,509,450,76,146,19,7,8,52,6,7,45,16,.324,.390,.451,.841,108,203,,3,11,,1,*8/H,roushed01
49,Earl Sheely,36,PIT,139,585,485,63,142,22,4,6,88,6,6,75,24,.293,.392,.392,.784,93,190,,4,21,,5,*3/H,sheelea01
50,George Sisler*,36,BSN,154,686,629,67,205,40,8,2,79,6,7,33,17,.326,.363,.424,.788,99,267,,4,20,,0,*3,sislege01
51,Lloyd Waner*,23,PIT,151,726,662,134,234,28,20,5,74,6,8,37,20,.353,.395,.479,.874,113,317,,9,18,,1,*8,wanerll01
52,George Harper*,37,BSN,136,538,457,65,133,25,5,10,68,5,6,69,27,.291,.389,.433,.822,108,198,,4,8,,4,*79H/8,harpege02
53,Chuck Klein*,24,PHI,149,679,616,126,219,45,6,43,145,5,8,54,61,.356,.407,.657,1.065,153,405,,0,9,,2,*98,kleinch01
54,Les Bell,27,BSN,139,553,483,58,144,23,5,9,72,4,4,50,42,.298,.364,.422,.786,98,204,,0,20,,1,*5H/46,bellle01
55,Rube Bressler,34,BRO,136,539,456,72,145,22,8,9,77,4,3,67,27,.318,.406,.461,.867,116,210,,1,15,,3,*7H,bressru01
56,Johnny Gooch#,31,TOT,93,314,288,22,86,13,5,0,34,4,0,24,10,.299,.355,.378,.733,86,109,,1,1,,2,2/H,goochjo01
57,Jimmy Welsh*,26,TOT,91,362,315,49,86,15,7,4,24,4,3,22,12,.273,.342,.403,.745,86,127,,11,14,,2,87/H9,welshji01
58,Jimmie Wilson,28,STL,120,449,394,59,128,27,8,4,71,4,4,43,19,.325,.394,.464,.859,109,183,,2,10,,6,*2H,wilsoji01
59,Billy Zitzmann,33,CIN,47,96,84,18,19,3,0,0,6,4,0,9,10,.226,.309,.262,.570,46,22,,1,2,,1,H7/93,zitzmbi01
60,Sparky Adams,34,PIT,74,217,196,37,51,8,1,0,11,3,2,15,5,.260,.316,.311,.627,54,61,,1,5,,1,64H5/7,adamssp01
61,Clyde Beck,29,CHC,54,213,190,28,40,7,0,0,9,3,1,19,24,.211,.282,.247,.530,33,47,,0,4,,0,56/H,beckcl01
