Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Cool Papa Bell#,26,TOT,97,447,391,98,125,26,5,3,40,49,,49,,.320,.397,.435,.832,117,170,,1,6,,,*8/31,bellco99
2,LeRoy Taylor*,26,KCM,73,305,274,60,98,8,10,1,51,34,,18,,.358,.399,.471,.870,126,129,,1,12,,,*9/7,taylole02
3,Willie Wells,24,TOT,99,444,377,109,137,24,6,26,128,31,,53,,.363,.444,.666,1.110,185,251,,2,12,,,*6,wellswi99
4,Bullet Rogan,35,KCM,72,308,259,65,93,16,9,7,69,26,,41,,.359,.449,.571,1.020,164,148,,1,7,,,*8/5319,roganbu99
5,Newt Allen,28,KCM,74,327,295,65,98,27,6,3,54,23,,24,,.332,.382,.495,.877,127,146,,0,8,,,*4,allenne02
7,Dink Mothell#,31,KCM,70,315,263,53,64,12,2,4,40,16,,32,,.243,.328,.350,.678,77,92,,1,19,,,*3/4,mothedi01
8,Clarence Smith,--,BBB,68,284,264,39,96,10,7,6,54,16,,9,,.364,.385,.523,.907,134,138,,0,11,,,978/42,smithcl02
9,Pythias Russ,25,CAG,64,257,233,53,86,10,11,3,51,15,,18,,.369,.414,.545,.959,148,127,,0,6,,,62,russpy01
10,Halley Harding#,24,KCM,74,348,305,64,96,23,9,0,34,13,,34,,.315,.383,.449,.833,116,137,,0,9,,,*6,hardiha01
11,Turkey Stearnes*,28,DS,68,304,259,64,101,17,4,16,91,12,,38,,.390,.468,.672,1.140,194,174,,0,7,,,*8,steartu99
12,Julius Green?,30,MRS,72,290,250,35,61,3,0,2,19,11,,33,,.244,.335,.280,.615,62,70,,1,6,,,938/7,greenju02
13,Milt Laurent,27,MRS,74,285,265,32,61,8,0,2,29,11,,9,,.230,.255,.283,.538,40,75,,0,11,,,456/871,lauremi01
14,Mule Suttles,28,TOT,99,417,372,82,127,31,7,18,110,10,,37,,.341,.401,.608,1.009,159,226,,0,8,,,*3/574,suttlmu99
15,Steel Arm Davis*,33,CAG,70,271,246,39,69,15,6,5,45,9,,17,,.280,.327,.451,.778,101,111,,0,8,,,39/8,davisst04
16,Jelly Gardner*,33,CAG,70,293,245,48,77,10,5,0,27,9,,43,,.314,.417,.396,.813,113,97,,0,5,,,*8/97,gardnje02
17,Cando López,23,CSW,43,184,166,22,41,5,3,2,16,9,,16,,.247,.313,.349,.663,72,58,,0,2,,,8,lopezca02
18,Pinky Ward?,--,MRS,66,278,222,36,57,8,2,3,18,9,,46,,.257,.384,.351,.736,93,78,,0,10,,,879/4,wardpi02
19,Frank Duncan,28,KCM,45,170,140,26,49,7,4,1,38,8,,20,,.350,.435,.479,.913,138,67,,1,9,,,2/3,duncafr02
20,George McAllister*,30,BBB,80,339,285,51,86,11,2,3,34,8,,34,,.302,.378,.386,.764,100,110,,1,19,,,379/4856,mcallge01
21,Bobby Robinson,25,DS,68,308,283,63,86,12,6,4,25,8,,20,,.304,.350,.431,.781,102,122,,0,5,,,*6/5,robinbo01
22,Tom Young*,26,KCM,44,152,137,37,51,10,4,5,37,8,,10,,.372,.415,.613,1.028,164,84,,0,5,,,2,youngto01
23,Rogelio Alonso,23,CSW,42,178,165,21,43,4,2,1,16,7,,9,,.261,.299,.327,.626,63,54,,0,4,,,7/19,alonsro01
24,Newt Joseph,32,KCM,69,272,226,37,65,7,2,4,40,7,,32,,.288,.378,.389,.768,100,88,,1,13,,,*5,josepne01
25,Armando Celada?,28,CSW,36,128,118,10,24,7,0,0,7,6,,8,,.203,.254,.263,.517,35,31,,0,2,,,65/4931,celadar01
26,Johnny Jones,29,DS,68,321,292,51,94,14,5,11,50,6,,27,,.322,.379,.517,.896,131,151,,0,2,,,*9,jonesjo03
27,L.D. Livingston?,24,KCM,74,301,255,51,70,9,12,5,50,6,,32,,.275,.355,.463,.818,112,118,,0,14,,,*7/9,livinld01
28,Eddie Dwight,24,KCM,11,37,33,8,10,0,1,1,7,5,,2,,.303,.343,.455,.797,106,15,,0,2,,,8,dwighed01
29,Geechie Meredith,29,BBB,80,355,306,63,86,13,4,5,38,5,,37,,.281,.359,.399,.757,97,122,,0,12,,,*4/692738,meredge01
30,Wilson Redus,24,SLS,95,404,357,65,107,21,3,9,69,5,,36,,.300,.365,.451,.816,112,161,,1,10,,,*79/8,reduswi01
31,Branch Russell*,33,SLS,91,406,324,83,102,16,10,2,52,5,,63,,.315,.428,.444,.872,128,144,,1,18,,,*9/547,russebr01
32,Sandy Thompson*,34,CAG,69,274,246,27,72,10,0,0,26,5,,14,,.293,.331,.333,.664,74,82,,0,14,,,*7/9,thompsa02
33,Charley Williams?,32,CAG,73,287,266,20,73,6,3,0,24,5,,13,,.274,.308,.320,.628,64,85,,0,8,,,456,willich02
34,Jim Brown#,37,CAG,48,168,149,19,37,7,2,2,21,4,,11,,.248,.300,.362,.662,72,54,,0,8,,,3/9254876,brownji04
35,Anthony Cooper,24,TOT,41,148,139,17,39,3,1,1,15,4,,3,,.281,.296,.338,.634,65,47,,0,6,,,6/9872,coopean01
36,Saul Davis,28,CAG,44,164,149,23,34,3,2,1,16,4,,12,,.228,.286,.295,.581,52,44,,0,3,,,4/6579,davissa01
37,Bingo DeMoss,39,DS,13,54,51,5,16,1,0,0,8,4,,2,,.314,.340,.333,.673,76,17,,0,1,,,4,demosbi01
38,Bienvenido Jiménez,39,CSW,41,163,141,21,40,6,3,0,10,4,,16,,.284,.357,.369,.725,89,52,,0,6,,,4,jimenbi01
39,Ray Sheppard?,26,BBB,31,130,116,14,39,9,3,0,15,4,,9,,.336,.384,.466,.850,120,54,,0,5,,,6/5,sheppra01
40,Chet Brewer#,22,KCM,23,61,54,4,18,1,1,0,3,3,,3,,.333,.368,.389,.757,98,21,,0,4,,,1/3,brewech02
41,Dewey Creacy,29,SLS,95,396,353,61,91,9,1,7,60,3,,34,,.258,.326,.348,.675,76,123,,2,7,,,*54,creacde01
42,Claude Johnson,35,DS,68,291,252,50,70,8,3,6,37,3,,27,,.278,.348,.405,.752,95,102,,0,12,,,*5/46,johnscl02
43,Wade Johnston*,31,DS,68,293,249,50,89,13,4,16,64,3,,31,,.357,.429,.635,1.063,173,158,,0,13,,,*7,johnswa04
44,Kid Lowe?,28,MRS,54,219,202,17,56,6,2,1,20,3,,11,,.277,.321,.342,.663,73,69,,2,4,,,*5/9,loweki01
45,Clarence Palm,21,SLS,65,219,201,36,67,13,3,16,62,3,,12,,.333,.371,.667,1.038,165,134,,0,6,,,*2,palmcl01
46,Ted Radcliffe,26,TOT,33,138,128,24,40,8,2,3,23,3,,9,,.313,.358,.477,.834,115,61,,0,1,,,2/19,radclte01
47,José Roque?,20,CSW,43,166,150,17,38,7,3,3,19,3,,13,,.253,.313,.400,.713,84,60,,0,3,,,9/571,roquejo02
48,Jimsey Roussell,28,BBB,46,178,159,28,40,5,1,2,24,3,,9,,.252,.292,.333,.625,62,53,,0,10,,,8,roussji01
49,Henry Williams,34,SLS,67,218,198,30,63,22,3,4,38,3,,15,,.318,.369,.520,.889,129,103,,1,4,,,2/3459,willihe01
50,Leo Birdine?,34,BBB,58,194,182,19,49,6,3,2,10,2,,4,,.269,.289,.368,.657,70,67,,1,7,,,197/8,birdile01
51,Larry Brown#,27,TOT,78,324,263,39,75,14,5,3,47,2,,48,,.285,.395,.411,.806,110,108,,0,13,,,*2,brownla02
52,Aurelio Cortés,25,CSW,43,170,155,17,34,6,0,1,16,2,,11,,.219,.271,.277,.549,43,43,,0,4,,,23,corteau01
53,Homer Curry*,24,MRS,25,83,75,9,21,2,2,3,16,2,,4,,.280,.316,.480,.796,105,36,,0,4,,,1/7934,currygo01
54,Porter Dallas,25,BBB,42,157,148,10,44,5,1,0,12,2,,7,,.297,.329,.345,.674,76,51,,0,2,,,5,dallapo01
