"","Player","HR9","BB9","SO9"
"Max","Max",1.4,10.1,10.1
"Min","Min",0,1.1,1.3
"Average","Average",0.295903614457831,3.39793103448276,4.21977011494253
"1","Garnett Blair",0,2.7,3.9
"2","Roy Parnell",0,3,3.8
"3","Lázaro Salazar",0.6,1.9,5.3
"4","Ford Smith",0.2,2.8,5.6
"5","Ben Taylor",0.3,2,3
"6","Lino Donoso",0.5,2.9,7.4
"7","Gene Richardson",0.1,3.8,8.3
"8","Bill Powell",0.5,3.3,6.8
"9","Dave Brown",0.1,2.7,5.9
"10","Jay Heard",0.4,2.7,6.3
"11","Satchel Paige",0.1,2,8.6
"12","Bill Foster",0.2,2.9,5.5
"13","Smoky Owens",0,2.4,2.6
"14","Dick Matthews",NA,1.4,4.6
"15","José Leblanc",0.2,2.3,4.9
"16","Bullet Rogan",0.1,2.4,5.5
"17","George Walker",0.1,2,5.5
"18","Booker McDaniel",0.1,2.4,6.8
"19","Frank Blake",0.3,5.3,9
"20","Jimmy Johnson",NA,2.4,7.7
"21","Ray Brown",0.2,2.4,4.2
"22","Juan Padrón",0.3,2.2,4.7
"23","Vet Barnes",0.7,2.1,7.4
"24","Frank Bradley",0,2.3,7.5
"25","Johnny Wright",0.1,2.5,4.7
"26","Amos Watson",0.1,4.4,4.8
"27","Hilton Smith",0.1,1.8,5.6
"28","Martín Dihigo",0.4,2.7,5.5
"29","Tom Williams",0.2,2.4,3.6
"30","Roy Partlow",0.2,2.8,5.7
"31","Bob Romby",0.1,4.3,7.2
"32","Donald Troy",0.1,4,4.7
"33","Slim Jones",0.5,2.8,6.3
"34","Louis Dula",0.4,3.2,3.8
"35","Red Ryan",0.3,2.3,3.5
"36","Alto Lane",0.1,3.6,4.7
"37","William Bell",0.1,2,3.9
"38","Dave Barnhill",0.3,2.7,5.9
"39","Lefty Wilson",0,2.4,6.1
"40","Wilmer Fields",0.3,2.9,4
"41","Bill Ricks",0.2,3.3,5.2
"42","Leon Day",0.3,3.4,6.3
"43","Porter Charleston",0.4,2.5,4.3
"44","Rufus Lewis",0.4,2.6,6.1
"45","Herb Smith",0.4,5,2.7
"46","Hubert Wilson",0,3.6,3.5
"47","George Harney",0.1,2.2,3.9
"48","Ed Rile",0.1,2.8,3.5
"49","George Jefferson",0.5,2.7,3.2
"50","Joe Williams",0.2,1.7,5.1
"51","Jim LaMarque",0.1,2.4,6
"52","Antonio Ruiz",0.3,1.9,4
"53","Bill Byrd",0.2,1.9,4.8
"54","Jesse Houston",0.2,2.7,5.4
"55","Max Manning",0.1,2.6,5.2
"56","Nip Winters",0.4,3,4.4
"57","Webbo Clarke",0.3,3.3,4.4
"58","Rats Henderson",0.3,3,4.8
"59","Chet Brewer",0.2,3,4.4
"60","Ted Trent",0.2,3,5.2
"61","Willis Flournoy",0.3,2.8,4.1
"62","Leroy Sutton",0.1,2.1,3
"63","Luis Tiant",0.1,3.4,6.6
"64","José Méndez",0.2,1.7,3.9
"65","Nelson Dean",0.2,1.8,4
"66","Edsall Walker",0.2,3.6,4.5
"67","Andy Cooper",0.3,2,4
"68","Gentry Jessup",0,2.7,4.7
"69","Ted Radcliffe",0.2,2.2,4.8
"70","Rube Curry",0.2,2.1,4.2
"71","Barney Morris",0.2,3.4,5.5
"72","Wade Johnston",0.6,2.7,4.5
"73","Eugene Bremer",0.2,2.2,3.8
"74","Webster McDonald",0.4,2.2,3.9
"75","R.T. Walker",0.2,3.4,4.3
"76","Sam Streeter",0.3,2.2,4.6
"77","Murray Gillispie",NA,3.1,4.2
"78","Jimmie Newberry",0.2,2.5,4.5
"79","Leroy Matlock",0.3,2.7,4.5
"80","Willie Hubert",0,4.2,4.4
"81","Specs Roberts",0.2,4,4
"82","Jonas Gaines",0.1,3.3,5.7
"83","Willie Powell",0.1,2.6,4.9
"84","Terris McDuffie",0.4,2.6,4.2
"85","George Nash",0.4,2.3,4.4
"86","Jesse Brown",0,3.8,3
"87","Carl Glass",0.1,2.3,4
"88","Jim Willis",0.3,2,4.2
"89","Steel Arm Tyler",0,2.6,4.8
"90","Joe Strong",0.3,3.3,3.7
"91","Henry Merchant",0.2,2.5,1.3
"92","Jimmy Hill",0.1,5.1,5
"93","Dan Bankhead",0,4.1,7
"94","Tite Figueroa",0.5,6.1,4.4
"95","Elbert Williams",0.3,3.7,5
"96","Ted Alexander",0.1,3.2,4.4
"97","Eddie Miller",0.2,3,2.8
